Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000201,"Leicester, Leicestershire and Rutland ICB - 04V ",ICB sub-locations,Persons,All ages,,,2015 Q1,164.05133,,,,,61744,376370,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000204,Suffolk and North East Essex ICB - 07K ,ICB sub-locations,Persons,All ages,,,2015 Q1,196.01666,,,,,48097,245372,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000205,Greater Manchester ICB - 02H ,ICB sub-locations,Persons,All ages,,,2015 Q1,175.7796,,,,,56594,321960,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000208,Cheshire and Merseyside ICB - 12F ,ICB sub-locations,Persons,All ages,,,2015 Q1,184.15286,,,,,57645,313028,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000212,North East and North Cumbria ICB - 13T ,ICB sub-locations,Persons,All ages,,,2015 Q1,178.60832,,,,,89399,500531,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000215,North East and North Cumbria ICB - 01H ,ICB sub-locations,Persons,All ages,,,2015 Q1,192.35495,,,,,54951,285675,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000217,Greater Manchester ICB - 14L ,ICB sub-locations,Persons,All ages,,,2015 Q1,156.94733,,,,,93187,593747,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000221,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A ",ICB sub-locations,Persons,All ages,,,2015 Q1,152.34969,,,,,75955,498557,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000222,"Bristol, North Somerset and South Gloucestershire ICB - 15C ",ICB sub-locations,Persons,All ages,,,2015 Q1,152.9503,,,,,137872,901417,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000223,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y ",ICB sub-locations,Persons,All ages,,,2015 Q1,166.33698,,,,,87703,527261,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000225,West Yorkshire ICB - 15F ,ICB sub-locations,Persons,All ages,,,2015 Q1,155.23259,,,,,130043,837730,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000226,Lancashire and South Cumbria ICB - 02M ,ICB sub-locations,Persons,All ages,,,2015 Q1,178.86604,,,,,29358,164134,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000227,Lancashire and South Cumbria ICB - 01E ,ICB sub-locations,Persons,All ages,,,2015 Q1,180.18993,,,,,34799,193124,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000228,Lancashire and South Cumbria ICB - 01K ,ICB sub-locations,Persons,All ages,,,2015 Q1,168.12651,,,,,45491,270576,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000230,Devon ICB - 15N ,ICB sub-locations,Persons,All ages,,,2015 Q1,175.698719299734,,,,,192573,1096041,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000231,"Bath and North East Somerset, Swindon and Wiltshire ICB - 92G ",ICB sub-locations,Persons,All ages,,,2015 Q1,162.586036989221,,,,,127698,785418,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000232,West Yorkshire ICB - 36J ,ICB sub-locations,Persons,All ages,,,2015 Q1,160.928939590542,,,,,71437,443904,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000233,Cheshire and Merseyside ICB - 27D ,ICB sub-locations,Persons,All ages,,,2015 Q1,169.055663705593,,,,,113329,670365,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000234,North East and North Cumbria ICB - 84H ,ICB sub-locations,Persons,All ages,,,2015 Q1,198.584572951592,,,,,100511,506137,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000235,Sussex ICB - 97R ,ICB sub-locations,Persons,All ages,,,2015 Q1,187.234439713002,,,,,80244,428575,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000236,Herefordshire and Worcestershire ICB - 18C ,ICB sub-locations,Persons,All ages,,,2015 Q1,175.132470198723,,,,,121133,691665,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000237,Kent and Medway ICB - 91Q ,ICB sub-locations,Persons,All ages,,,2015 Q1,184.898163314934,,,,,282086,1525629,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000238,Lincolnshire ICB - 71E ,ICB sub-locations,Persons,All ages,,,2015 Q1,198.303612413641,,,,,136513,688404,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000239,Norfolk and Waveney ICB - 26A ,ICB sub-locations,Persons,All ages,,,2015 Q1,187.562396349865,,,,,181862,969608,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000240,North Central London ICB - 93C ,ICB sub-locations,Persons,All ages,,,2015 Q1,119.261325411404,,,,,157772,1322910,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000241,Humber and North Yorkshire ICB - 42D ,ICB sub-locations,Persons,All ages,,,2015 Q1,171.949742012677,,,,,68550,398663,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000243,Nottingham and Nottinghamshire ICB - 52R ,ICB sub-locations,Persons,All ages,,,2015 Q1,160.618907252233,,,,,145487,905790,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000244,South East London ICB - 72Q ,ICB sub-locations,Persons,All ages,,,2015 Q1,130.794222479092,,,,,203221,1553746,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000245,South West London ICB - 36L ,ICB sub-locations,Persons,All ages,,,2015 Q1,135.948916924574,,,,,199472,1467257,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000246,Surrey Heartlands  ICB - 92A ,ICB sub-locations,Persons,All ages,,,2015 Q1,159.691740930178,,,,,158480,992412,Aggregated from all known lower geography values,,Not compared,Not compared,20150100,,,3m
