Area Code,Area Name,Qty_Mean_Current,Quality_Mean_Current,Seasonality,Quantity_Trend,Cluster,PC1,PC2,SUB_ICB_Code,Driver_GP_Density,Driver_Elderly_Pct,Driver_chinldren_Pct,Driver_COPD_Prevalence,Driver_Minority_Pct,Driver_IMD_Score
E38000117,Suffolk and North East Essex ICB - 06T ,139.0027975,8.342500000000001,1.2423585507557324,-6.507000315616622,3,1.5363133520297525,1.357920796502961,06T,0.4981279096867245,0.22364095276475704,0.15849629881010457,2.15304,8.987551502177388,19.708
E38000119,Humber and North Yorkshire ICB - 03H ,129.7785,8.515,1.1716550146077616,-9.510815693458872,3,-0.0756685520897716,0.6347899146324005,03H,0.46870518559604357,0.20925919565889342,0.1641137479822784,3.24209,3.7816865965457707,20.858
E38000122,Humber and North Yorkshire ICB - 03K ,123.629865,9.052499999999998,1.1416641439765307,-9.66103835371,0,-0.3736600488511225,0.4585380030299898,03K,0.6440825218572022,0.2204309476213825,0.1564838812226886,2.65842,5.674799622819425,20.858
E38000126,Staffordshire and Stoke-on-Trent ICB - 05G ,139.552835,6.2675,1.157180610625062,-7.865349875463962,0,-0.9782740365380512,1.5916658605760328,05G,0.7202413797556463,0.23263756787604192,0.14461920243489088,2.65394,4.990616825264435,20.392
E38000127,North East and North Cumbria ICB - 99C ,128.03526,6.234999999999999,1.127386378175039,-10.119032983566273,0,-1.812996522800172,0.7031467542731413,99C,0.7135375271258748,0.2091754049389854,0.15731518225539406,2.63199,5.150475424819712,27.871
E38000130,North East and North Cumbria ICB - 00L,145.31954000000002,6.1899999999999995,1.1323251173675768,-8.650827636839162,0,-1.61505028944214,1.8346070115430455,00L,0.744611074198202,0.2633955536789759,0.1411187933592536,2.76862,2.353003565535033,27.871
E38000135,Greater Manchester ICB - 00Y ,115.1301275,5.5825,1.181906156250025,-11.070822591662791,2,-1.1867070906532329,-0.4149673881612886,00Y,0.5541005818059089,0.15406896960975575,0.19579714122525277,2.26725,31.88607542649428,29.6
E38000136,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q ",91.62677725,9.9475,1.187840751826116,-9.37183703182494,1,1.0474066858131308,-1.2926965219410216,10Q,0.6142117112563649,0.17436546191558575,0.15254991764286355,1.34548,13.304363774883956,11.618
E38000137,Hampshire and Isle Of Wight ICB - 10R ,93.80368725,9.6125,1.1852071438159624,-7.036716174722342,1,1.2561732352174673,-0.6526345160030935,10R,0.43798526659755443,0.14862809411724717,0.16066891564627006,2.85377,14.769979279145012,17.157
E38000141,South Yorkshire ICB - 03L ,122.11458,6.18,1.1957202322924103,-10.243793513194523,0,-0.6247761823762363,0.0171063834982084,03L,0.6470761191531481,0.19467551654621806,0.17081868663711855,3.44873,8.974112990907004,29.11
E38000143,Greater Manchester ICB - 01G ,99.74381575,8.8625,1.1304989457835193,-15.625024809155336,2,-1.4910862047718676,-1.9427235702873649,01G,0.594238889050136,0.12104588246332844,0.17332123979607794,2.50132,17.662008565373956,29.6
E38000146,South Yorkshire ICB - 03N ,99.49169775,8.262500000000001,1.1346205608007804,-7.984877611073851,1,-0.3441589523851387,-0.2838560386280281,03N,0.7110607929224774,0.1580047645272057,0.15643374982643954,2.08481,20.899226087690895,29.11
E38000150,Somerset ICB - 11X ,111.715792,4.2675,1.194844977045992,-9.453905311129292,0,-1.166581882185577,-0.2691061946100642,11X,0.6524803690430735,0.24870311975405357,0.15000032915742284,2.27711,3.6219116821129944,19.137
E38000153,Staffordshire and Stoke-on-Trent ICB - 05Q ,126.6062025,9.32,1.1817670594387368,-8.90706405320216,3,0.5346736238473232,0.5436272476572325,05Q,0.6403438616032275,0.2229253527271419,0.15841575252204967,1.93282,5.76576812810293,20.392
E38000161,Cheshire and Merseyside ICB - 01T ,111.03076325,8.1,1.2376425725914963,-13.454568530475806,2,0.3717694958577062,-1.491382459371225,01T,0.5467621479046018,0.2029453888785105,0.16143595491624635,2.7925,3.9397871149837353,25.531
E38000163,North East and North Cumbria ICB - 00N ,127.9459375,6.0925,1.1384693689008545,-8.84162435703741,0,-1.4562338265924917,0.9221850349538806,00N,0.6054916475005001,0.207999899969991,0.1561593478043413,3.47926,5.6131874378286195,27.871
E38000168,Mid and South Essex ICB - 99G ,121.107195,11.825,1.2621267117290655,-11.72253292440917,3,2.452968866331529,-0.8298572754721322,99G,0.5497107288144247,0.18783224139427765,0.16999014446277108,2.19738,12.511829980352548,18.08
E38000170,Cheshire and Merseyside ICB - 01V ,137.63877,7.53,1.1757618376278167,-10.2673467281247,0,-0.5666632779848505,0.8443338825196713,01V,0.6337642636701551,0.26934316238983225,0.13556772931651173,2.11123,4.534149771877466,25.531
E38000172,Cheshire and Merseyside ICB - 01X ,120.911575,6.39,1.176485745833122,-10.735730541029405,0,-0.9543563553000818,-0.0481159559712069,01X,0.6217657222577345,0.20566744684617352,0.15795193045256967,2.89891,3.471665166025484,25.531
E38000173,Staffordshire and Stoke-on-Trent ICB - 05V ,135.5468075,7.895,1.2178596062621525,-8.438989690463632,3,0.6327265951513774,0.9084709925355076,05V,0.5327942578286431,0.23195813635113263,0.1508984947254617,1.9152,6.245781598217128,20.392
E38000174,Greater Manchester ICB - 01W ,129.1073125,7.615,1.187760613236422,-12.512620915143394,2,-0.6485389396136508,-0.1290926799602309,01W,0.7261472383550389,0.19414556962025317,0.16959895326192795,2.14415,12.633535863432972,29.6
E38000175,Staffordshire and Stoke-on-Trent ICB - 05W ,137.2461975,5.5375,1.1871972824137575,-4.581049928488552,0,-0.1595826699499015,2.05329289736093,05W,0.5601349658609919,0.17249235806036714,0.18148562647201297,2.63986,16.070604392511793,20.392
E38000176,North East and North Cumbria ICB - 00P ,137.4857,6.6899999999999995,1.136820219903225,-5.372436477007268,0,-0.7304165055199553,2.143867256866175,00P,0.6321076437222694,0.2011346316680779,0.15372057578323456,3.28853,5.398357259570495,27.871
E38000185,Mid and South Essex ICB - 07G ,116.65243,6.245,1.2774822465268998,-5.211927170798691,1,1.719963597978864,0.4126229461681176,07G,0.4361245380267646,0.13658882183154028,0.20188401994227237,1.83337,23.303409090909092,18.08
E38000187,Greater Manchester ICB - 02A ,113.064545,8.6275,1.1536860676341865,-10.973317950745807,2,-0.4774662430800837,-0.3979095961543828,02A,0.6333175242353789,0.1761374113119814,0.17833807672265203,1.94058,22.24595199400989,29.6
E38000188,Humber and North Yorkshire ICB - 03Q ,105.82383125,4.6875,1.1613892673149018,-11.253809047242612,2,-1.85330575073838,-0.7749034611684892,03Q,0.6706814063535901,0.19467072039985514,0.1335980994146229,1.61022,5.049047092981297,20.858
E38000190,West Yorkshire ICB - 03R ,124.622665,6.3725000000000005,1.1868123750017,-8.714901664146623,0,-0.462556892721192,0.5197579640524104,03R,0.725867149099484,0.18742811033231507,0.16774130495252462,2.69615,6.968899453830263,27.808
E38000194,Cheshire and Merseyside ICB - 02E ,107.046154,6.535,1.2296568913823245,-14.27754121617632,2,-0.4805811624660587,-1.7908631663391186,02E,0.5603537075399683,0.19009533392898967,0.16061468263950937,1.82188,6.47934855766952,25.531
E38000197,Hertfordshire and West Essex ICB - 07H ,127.4125375,8.775,1.2510264549526078,-6.943896781284097,3,1.859970840989009,0.6464197470312442,07H,0.6140353717897793,0.1828097327292439,0.17821932986688727,1.58777,13.34870436009498,13.522
E38000200,Lancashire and South Cumbria ICB - 02G ,116.3208825,8.035,1.1323392727324555,-10.176217218081558,0,-0.9632433643521048,0.0630397653249478,02G,0.5660167823492968,0.22421094618563875,0.1494767930340912,2.21373,3.0938106754777395,25.813
E38000201,"Leicester, Leicestershire and Rutland ICB - 04V ",114.056625,10.415,1.199788076568237,-8.388170230274307,3,1.4453020008946662,-0.0677903881366041,04V,0.606587789105254,0.19981449896930692,0.1562573387955717,1.74733,9.906272813236454,19.793
E38000204,Suffolk and North East Essex ICB - 07K ,151.8046825,9.19,1.2023257249533796,-4.891980388930291,3,1.3508936438017216,2.534023125098562,07K,0.6636320315983734,0.2359774394409216,0.1502451690432506,2.27247,6.944384925906563,19.708
E38000205,Greater Manchester ICB - 02H ,123.12256,8.385000000000002,1.1770724836720747,-10.748065102032015,3,-0.1957551608492261,0.0139894729806873,02H,0.6307305337452322,0.19064710289212294,0.16654560370538118,2.56986,4.973643938105765,29.6
E38000208,Cheshire and Merseyside ICB - 12F ,135.905455,9.6975,1.189293736253531,-7.577945548695769,3,0.9721665003225424,1.2366428188613598,12F,0.828271453283453,0.21966165837738372,0.15727069933772536,2.60498,4.84201913197188,25.531
E38000212,North East and North Cumbria ICB - 13T ,109.50688,7.435,1.1204103442996034,-9.40211302364977,0,-1.2212877053618436,-0.018587314497546,13T,0.679839192044993,0.16053345930789148,0.1483278845758111,2.31441,14.666067528029211,27.871
E38000215,North East and North Cumbria ICB - 01H ,134.15473,7.4925,1.1521291511096328,-5.934254218422104,0,-0.2283973026153621,1.7600681945008587,01H,0.6060727992975041,0.24254863147241365,0.14578279182604295,2.42076,2.278126790057376,27.871
E38000217,Greater Manchester ICB - 14L ,97.096197,7.4125,1.1766429021081295,-14.227826969638327,2,-0.9878633443637777,-1.987252151452743,14L,0.6044260265019039,0.09074841654870501,0.16505623359351795,1.86422,43.176045135504346,29.6
E38000221,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A ",93.1916495,8.5975,1.2253947831272187,-8.52077975452168,1,1.3167950989853352,-1.2090489190922924,15A,0.47663826506854795,0.16033224435179494,0.17035439284030104,1.18278,20.66632500151021,11.618
E38000222,"Bristol, North Somerset and South Gloucestershire ICB - 15C ",89.15955925,8.62,1.1814612264605826,-9.277014258404645,1,0.46017507187633,-1.3302716196814466,15C,0.6055665920534792,0.16443821465928748,0.15553296290761878,1.85234,12.67807925522141,17.706
E38000223,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y ",110.03163275,7.81,1.1817697176433226,-9.104854086460122,1,0.0374700245084273,-0.2707609899081324,14Y,0.5392328316378271,0.18998134915095752,0.1771746570446897,1.22021,19.92046841657723,11.618
E38000225,West Yorkshire ICB - 15F ,99.75325575,6.6049999999999995,1.1797490030473043,-10.333072101722388,2,-0.5978544764665674,-1.0028975160135338,15F,0.6311970121544073,0.14841663203342648,0.1644708660931898,1.87803,20.95596430836684,27.808
E38000226,Lancashire and South Cumbria ICB - 02M ,135.4274525,8.5675,1.1581073649528115,-10.269112419899836,0,-0.4602950756100809,0.8136480389452179,02M,0.5291260144341152,0.28589395715256705,0.13471305706747158,2.83087,3.117245895600657,25.813
E38000227,Lancashire and South Cumbria ICB - 01E ,133.7061725,8.7275,1.2473469776742605,-10.92561484678206,3,1.0540550334021468,0.0947323680292328,01E,0.654635281409584,0.16151842363176808,0.17133633659450817,1.86233,20.80615850337185,25.813
E38000228,Lancashire and South Cumbria ICB - 01K ,120.1161225,9.2,1.1686581053482428,-10.112489858143467,3,0.1003123930199417,0.03899557970014,01K,0.6472017475124133,0.23110828219217436,0.13682360595161985,2.17655,4.40821952745004,25.813
E38000230,Devon ICB - 15N ,114.8233425,8.217500000000001,1.184476806685423,-9.010778960991512,1,0.2234768304714393,-0.0414493480427754,15N,0.6836650420538775,0.24384034064280605,0.14237746972200982,2.40281,4.159294146486321,20.141
E38000231,"Bath and North East Somerset, Swindon and Wiltshire ICB - 92G ",110.332245,9.205,1.1878045120542196,-6.2006701163906675,1,1.1716120383898654,0.3230177798709056,92G,0.592670078595914,0.2071531892127529,0.1593585907622803,1.83533,9.301356882879025,14.281
E38000232,West Yorkshire ICB - 36J ,119.754565,5.24,1.1576881059567354,-8.964240312168933,0,-1.4125878310035562,0.4111601956770959,36J,0.6518281374739062,0.15786966662585225,0.1906784849290277,2.01461,35.84388535341105,27.808
E38000233,Cheshire and Merseyside ICB - 27D ,113.653555,6.78,1.198016741149996,-11.010607180338512,2,-0.4259310292168666,-0.5843573430226829,27D,0.6919376779990215,0.21795039156527288,0.15480706000910135,1.98744,5.161239967562834,25.531
E38000234,North East and North Cumbria ICB - 84H ,145.3457525,6.855,1.1233893644740731,-8.634223869759824,0,-1.512556959741687,1.8755103352753952,84H,0.66429603203947,0.21458510032392134,0.14865820392055903,3.06708,3.179273237828716,27.871
E38000235,Sussex ICB - 97R ,126.0334025,7.727499999999999,1.216825219272315,-8.1400526454876,3,0.6681751574306919,0.5239363185730888,97R,0.5716486523641001,0.2586038966665858,0.14566399656156087,2.4364,6.120590789343514,17.741
E38000236,Herefordshire and Worcestershire ICB - 18C ,129.3529725,7.477499999999999,1.1830181544967535,-9.79762042734654,0,-0.3222582469729917,0.509073667372466,18C,0.6808370533283036,0.2373115519028918,0.15039206334523078,2.15356,5.435381961482621,17.654
E38000237,Kent and Medway ICB - 91Q ,111.98938475,7.625,1.230391734890386,-8.886332695829768,1,0.83607191724161,-0.3905467583891771,91Q,0.46410946383757967,0.1946925444598127,0.17370409561574077,2.0111,11.37449517605188,21.25
E38000238,Lincolnshire ICB - 71E ,148.97995500000002,12.0125,1.1902153664647976,-8.779209294971531,3,1.5803490241295937,1.5533986305919982,71E,0.5742290540026,0.23715389568576947,0.14856455551640768,2.54141,4.012811636151616,22.239
E38000239,Norfolk and Waveney ICB - 26A ,135.201455,10.32,1.1629873413408065,-7.644131667448126,3,0.7470668402522115,1.3199217213147831,26A,0.621274765729965,0.24609434703814495,0.14371037941148643,2.3448,5.074233092588701,21.735
E38000240,North Central London ICB - 93C ,74.851168,8.844999999999999,1.2110546487821083,-6.573492289679611,1,1.6232818659763886,-1.592087771715449,93C,0.5407008241302405,0.11536818594109288,0.14548280686188167,1.04347,42.774606641187276,25.754
E38000241,Humber and North Yorkshire ICB - 42D ,122.1663475,5.9725,1.159434611405265,-9.354403308095584,0,-1.1844467662333635,0.4179295832258725,42D,0.7263561724583086,0.25693092355879116,0.14268179124693134,2.09995,3.695829080252692,20.858
E38000243,Nottingham and Nottinghamshire ICB - 52R ,107.171273,7.709999999999999,1.2000452526093897,-9.453516387360732,1,0.277657587065264,-0.5836369336406698,52R,0.6842974390062371,0.1748072068633489,0.1601445189496786,2.00207,15.874754644888803,22.865
E38000244,South East London ICB - 72Q ,81.14111125,8.432500000000001,1.1962778350854504,-7.163049246353107,1,1.0630217451154853,-1.3293937071041664,72Q,0.49243392753197573,0.11779264498279045,0.15453609756327874,1.24569,39.81079349059048,20.606
E38000245,South West London ICB - 36L ,87.4741765,7.7125,1.205085369243729,-9.664129232351874,1,0.4685775600190046,-1.608486049873136,36L,0.5717183990850536,0.12911882610314074,0.16194460275975117,1.05103,36.55211099309612,15.604
E38000246,Surrey Heartlands  ICB - 92A ,101.30971025,7.8225,1.205055147458424,-9.410340734113571,1,0.4565252972936954,-0.8866841066249942,92A,0.5881454171754107,0.18784820854062367,0.16707993952614866,1.28669,14.658738708718545,10.378
E38000247,North East and North Cumbria ICB - 16C ,134.75972000000002,7.8525,1.116302911952327,-10.451142843416015,0,-1.4886549673245684,0.983905903052128,16C,0.5645833218436009,0.19554695456770768,0.16815820272504248,2.99624,7.903033596531514,27.871
E38000248,Sussex ICB - 70F ,119.31189,10.095,1.2076921336878794,-7.8830561070429646,3,1.5093008364154088,0.2600706440825153,70F,0.5829385791805797,0.22843530591775327,0.15709681787979973,1.84223,9.01301174230403,17.741
E38000249,"Bedfordshire, Luton and Milton Keynes ICB - M1J4Y ",106.55369525,8.7425,1.2264796605625363,-7.295275774918389,1,1.5067340968129894,-0.3029644598053593,M1J4Y,0.46947697590306575,0.1485078450348352,0.186631692802186,1.56622,27.907696220122567,19.537
E38000251,Coventry and Warwickshire ICB - B2M3M ,113.10158,7.83,1.2054629099116576,-8.762355857779271,1,0.4943476934281666,-0.17716539712934,B2M3M,0.653326376316636,0.17086362361526405,0.16405900679834445,1.5992,19.549450001220688,19.975
E38000252,Frimley ICB - D4U1Y ,91.69624075,8.065000000000001,1.2362561700611578,-10.95333303054284,1,0.8967037679904837,-1.8658424467306145,D4U1Y,0.5221540961894727,0.1603334653241317,0.17545701813930686,1.22531,25.903248764966925,12.359
E38000253,Hampshire and Isle Of Wight ICB - D9Y0V ,105.75579225,8.9075,1.181893131580101,-8.722573768511614,1,0.5562557666584191,-0.4149833078787329,D9Y0V,0.5828681831090599,0.2172247103026148,0.15408421233645464,1.99235,7.920192871764534,17.157
E38000254,West Yorkshire ICB - X2C4Y ,129.371225,5.44,1.171745467865119,-9.525507671560408,0,-1.2544345797447842,0.6710548723833049,X2C4Y,0.5462557204277784,0.17346162927469613,0.17410498634220098,2.01024,26.371723905506283,27.808
E38000255,North East London ICB - A3A8R ,79.99094575000001,8.752500000000001,1.23471070791063,-6.097837102123124,1,2.0445188020016083,-1.366873062393757,A3A8R,0.4793067725131685,0.09495478266110739,0.17556202997873324,0.96366,53.74611429294767,26.334
E38000256,North West London ICB - W2U3Z ,74.59385725,7.725,1.2440057118859948,-7.559455147986473,1,1.6001763034226353,-1.980098004828886,W2U3Z,0.44522112717970175,0.1110629055304034,0.14175720695412714,0.90207,53.86163042424017,23.635
E38000257,"Shropshire, Telford and Wrekin ICB - M2L0M ",120.82831,6.7,1.164789880043558,-8.09836928227744,0,-0.588190617874842,0.5864374544156985,M2L0M,0.5752531291388812,0.22814541911859396,0.15502899386528257,1.91311,6.4089797601861935,20.099
E38000258,Birmingham and Solihull ICB - 15E ,106.1147285,7.279999999999999,1.2132645686899153,-6.931048855952375,1,0.7804646375831787,-0.1433055743193688,15E,0.6371100109734017,0.13621985625985056,0.1874414766144519,1.46002,46.054875213145245,34.77
E38000259,Black Country ICB - D2P2L ,111.17655275,6.232500000000001,1.2119037296050663,-9.49353538061374,1,-0.1182294147138612,-0.4353041762789658,D2P2L,0.625197966403444,0.16580938176152815,0.18551037891071664,2.06325,31.365817349738823,30.214
E38000260,Cambridgeshire and Peterborough ICB - 06H ,113.7640875,9.8275,1.200588707899851,-7.451569047721575,3,1.395541416039159,0.131293948868889,06H,0.5669123092195801,0.16649567638868532,0.16312758031943142,1.72123,14.454501727229,16.614
E38000261,Derby and Derbyshire ICB - 15M ,107.35934825,8.355,1.1749379443297086,-9.55850830697213,1,0.0691813533425871,-0.472832883551903,15M,0.6748986749450969,0.20629508012685582,0.1573708638545087,2.23162,9.264909479680988,21.553
E38000262,Northamptonshire ICB - 78H ,110.59766525,7.694999999999999,1.1591467190250626,-7.994645649515868,0,-0.2148631121351128,0.1269632753913224,78H,0.5807164193316727,0.1715029511434278,0.17322745360674965,1.90434,12.075548107094829,17.483
E38000263,Greater Manchester ICB - 01Y ,109.8396095,6.215,1.1769314134053923,-11.018517554645054,2,-0.9843708527000674,-0.6439043120681123,01Y,0.6381291109984105,0.1728227555742902,0.17515434131605062,3.05691,14.450719463377693,29.6
